Fund Name,Category,Inception Date,Class,Type,Offer,Repurchase,NAV,Validity Date,"Front-end Load %","Back-end Load %","Contingent Load %",Trustee Code
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,133.5596,129.8902,129.8902,2017-03-29,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,132.4462,128.8074,128.8074,2017-03-30,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,133.244,129.5833,129.5833,2017-03-31,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,133.6019,129.9313,129.9313,2017-04-03,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,133.4964,129.8287,129.8287,2017-04-04,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,132.3145,128.6793,128.6793,2017-04-05,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,131.6903,128.0723,128.0723,2017-04-06,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,132.9722,129.3189,129.3189,2017-04-07,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,133.4216,129.756,129.756,2017-04-10,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.3398,130.649,130.649,2017-04-11,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.0505,131.3401,131.3401,2017-04-12,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,133.4065,129.7413,129.7413,2017-04-13,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,132.2883,128.6538,128.6538,2017-04-14,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,131.3192,127.7114,127.7114,2017-04-17,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,130.947,127.3494,127.3494,2017-04-18,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,133.0821,129.4258,129.4258,2017-04-19,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.3995,132.6521,132.6521,2017-04-20,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,139.0588,135.2383,135.2383,2017-04-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,140.6058,136.7428,136.7428,2017-04-24,-,-,-,CDC
